country,countrycode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
FRANCE,FRA,0.82,0.37,4,73.56,53.59,99.52,0.67,0.34,4,69.23,50.24,93.78,0.74,0.3,5,71.63,55.5,93.3,0.85,0.28,6,77.88,58.37,95.22,0.18,0.28,6,49.52,35.89,66.03,0.34,0.28,7,57.69,40.67,74.16,0.38,0.27,7,57.69,43.54,71.77,0.57,0.24,8,64.42,52.15,80.38,0.55,0.24,8,64.42,48.8,79.43,0.53,0.24,8,63.64,49.52,78.57,0.47,0.24,8,63.03,48.11,77.83,0.67,0.24,8,69.34,54.93,86.38,0.59,0.24,9,65.09,55.4,80.75,0.55,0.22,9,63.51,53.3,75.47,0.44,0.22,9,61.61,50,70.75,0.36,0.2,9,59.22,46.86,68.6
FRENCH GUIANA,GUF,-0.04,0.61,1,44.71,18.18,79.9,-0.04,0.58,1,43.27,16.75,78.47,-0.05,0.59,1,42.31,17.22,78.47,0.22,0.52,1,51.44,25.84,84.69,0.28,0.42,1,55.29,31.58,81.82,0.21,0.44,1,53.85,28.23,78.95,0.24,0.46,1,55.29,29.19,81.34,0.08,0.37,2,48.56,29.67,66.99,0.06,0.35,2,45.19,27.75,68.9,0.09,0.34,2,47.85,30,69.05,0.31,0.32,2,53.55,37.74,77.36,0.19,0.3,3,52.36,34.74,70.42,0.2,0.29,3,55.19,38.5,69.01,0.23,0.27,3,54.03,38.68,68.87,0.22,0.28,3,56.4,38.21,67.45,0.52,0.25,3,64.56,51.21,78.74
GABON,GAB,-0.03,0.37,4,45.19,24.4,63.64,0.18,0.34,4,50.96,31.1,70.81,0.5,0.33,4,65.38,42.11,82.78,0.31,0.31,4,57.21,39.71,76.08,0.25,0.3,4,53.37,36.36,70.33,0.38,0.29,5,60.1,42.11,76.08,0.31,0.29,5,56.25,41.15,71.77,0.18,0.25,6,52.4,39.23,65.07,0.27,0.25,6,53.37,39.23,69.86,0.24,0.25,6,53.59,38.57,69.05,0.12,0.25,6,48.82,35.85,65.09,0.3,0.25,6,55.66,42.25,70.89,0.39,0.25,6,60.38,46.95,70.42,0.31,0.23,7,56.87,42.45,68.87,0.34,0.23,7,58.77,45.75,67.45,0.2,0.21,7,54.85,40.58,64.73
"GAMBIA, THE",GMB,0.47,0.43,3,61.54,39.23,87.56,0.59,0.38,3,64.9,43.54,93.78,0.45,0.4,3,63.94,36.84,84.69,0.72,0.4,3,70.19,45.45,95.69,0.32,0.32,4,56.73,36.84,74.64,0.21,0.34,4,54.33,33.01,74.16,0.25,0.34,4,55.77,36.36,71.77,-0.02,0.29,5,44.71,29.67,60.29,0.06,0.29,5,45.67,30.62,64.11,0.08,0.29,5,47.37,30.48,65.24,0.14,0.26,6,49.76,35.85,65.57,0.08,0.26,6,50,33.8,64.32,0.01,0.28,5,48.11,31.92,62.91,0,0.24,6,44.55,34.91,59.91,-0.05,0.24,6,44.55,31.6,58.96,-0.1,0.21,6,41.75,29.95,57
GEORGIA,GEO,-1.69,0.48,2,6.73,2.39,19.62,-1.77,0.44,2,7.21,0.96,16.75,-0.99,0.46,2,18.27,6.7,36.84,-1.36,0.45,2,12.98,2.39,26.32,-1.35,0.36,2,12.02,4.78,24.88,-0.86,0.32,4,19.71,9.57,33.49,-0.68,0.33,4,25.48,14.35,41.63,-0.94,0.28,5,18.27,10.05,31.1,-0.62,0.28,5,25,16.27,39.23,-0.91,0.28,5,16.75,10.95,30,-0.94,0.28,5,18.96,10.38,29.25,-0.72,0.27,5,24.06,13.62,35.68,-0.66,0.27,5,26.89,15.49,38.97,-0.67,0.23,7,24.64,17.45,37.26,-0.43,0.24,7,32.23,20.28,44.81,-0.23,0.21,7,35.92,25.6,51.21
GERMANY,DEU,1.21,0.37,4,92.79,63.64,100,1.17,0.34,4,89.42,65.07,100,1.32,0.3,5,95.19,75.6,100,1.02,0.28,6,82.69,64.11,97.61,0.55,0.28,6,63.94,47.37,83.25,0.63,0.28,7,67.31,53.11,85.17,0.87,0.27,7,75,58.85,94.26,1,0.24,8,81.73,65.07,96.17,0.99,0.24,8,82.69,67.46,96.65,0.93,0.24,8,78.95,64.29,96.19,0.83,0.24,8,76.78,61.32,91.51,0.78,0.24,8,72.64,57.28,89.67,0.84,0.24,9,71.23,61.5,92.02,0.77,0.22,9,71.09,60.38,88.68,0.93,0.22,9,76.78,65.09,92.45,0.93,0.2,9,79.13,66.18,93.72
GHANA,GHA,-0.32,0.37,4,34.62,18.66,55.02,-0.24,0.34,4,35.58,21.53,56.94,-0.44,0.33,4,31.25,18.18,50.72,-0.24,0.31,4,38.94,24.4,54.55,-0.02,0.29,5,40.38,29.19,61.24,0.01,0.28,6,46.15,29.19,62.68,0.18,0.28,6,52.88,36.84,66.99,0.02,0.25,6,46.15,32.06,59.81,-0.06,0.25,6,40.38,28.71,56.94,-0.01,0.24,7,44.5,30,57.62,0.04,0.24,7,45.97,32.08,61.32,0.02,0.24,7,47.64,33.8,58.69,0.16,0.24,8,52.83,38.97,64.32,0.11,0.22,8,50.24,38.21,62.26,0.03,0.23,8,46.92,36.79,60.85,-0.13,0.2,8,40.78,29.47,55.56
GREECE,GRC,0.45,0.37,4,60.1,42.11,84.69,0.65,0.34,4,65.38,49.76,89.95,0.71,0.3,5,69.71,54.07,92.82,0.79,0.28,6,73.56,57.42,94.74,0.47,0.28,6,61.54,41.63,80.38,0.46,0.28,7,62.5,46.41,78.47,0.51,0.27,7,63.94,48.33,78.95,0.64,0.24,8,65.87,54.07,83.25,0.53,0.24,8,63.46,47.85,78.95,0.28,0.24,8,54.07,40,69.05,-0.22,0.24,8,37.44,25.94,50.94,-0.13,0.24,8,41.51,27.23,54.46,-0.1,0.24,8,42.45,30.05,57.75,-0.22,0.22,9,38.86,27.36,51.42,-0.17,0.22,9,40.28,28.3,55.19,0.02,0.2,9,46.6,33.33,58.94
GREENLAND,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.52,0.56,1,99.53,66.98,100,1.63,0.5,1,100,74.18,100,1.94,0.38,2,100,94.84,100,1.92,0.38,2,100,92.92,100,1.91,0.35,2,100,95.28,100,1.94,0.36,2,100,97.1,100
GRENADA,GRD,0.81,0.48,2,73.08,46.89,100,0.86,0.44,2,75.96,50.24,100,0.91,0.46,2,78.37,51.2,100,0.81,0.45,2,74.52,45.93,98.56,0.87,0.36,2,77.4,55.5,97.61,0.9,0.34,3,77.4,58.85,98.56,0.43,0.35,3,59.13,41.63,80.86,0.42,0.34,3,59.62,41.63,80.86,0.39,0.32,3,58.17,39.23,78.95,0.4,0.32,3,58.37,40,79.05,0.39,0.32,3,59.24,40.57,82.08,0.51,0.33,3,64.62,46.01,86.38,0.36,0.31,3,58.96,40.85,71.83,0.48,0.29,3,62.56,45.28,78.77,0.41,0.3,3,61.14,42.92,75.47,0.75,0.26,3,71.84,58.45,90.82
GUAM,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.67,0.44,1,70.19,43.54,96.65,0.78,0.46,1,69.23,46.41,99.52,0.76,0.44,1,69.71,46.89,99.52,0.47,0.41,1,61.54,36.84,89.47,0.48,0.4,1,61.24,38.1,90,0.42,0.37,1,60.66,38.68,86.32,0.43,0.41,1,59.91,36.15,87.79,0.83,0.34,2,70.75,55.4,98.12,0.82,0.31,2,72.99,56.6,95.75,0.83,0.33,2,71.56,58.02,97.64,0.8,0.28,2,74.76,58.94,93.72
GUATEMALA,GTM,-1.08,0.37,4,16.83,7.18,31.1,-0.77,0.34,4,21.63,10.53,36.36,-0.83,0.33,4,20.67,11.48,34.93,-0.9,0.3,5,19.23,12.44,30.14,-0.82,0.29,5,23.56,12.92,33.97,-0.84,0.28,6,20.67,11.48,32.06,-0.86,0.28,6,21.63,11.48,34.93,-0.74,0.25,7,24.52,14.35,33.01,-0.77,0.24,7,21.15,13.4,32.06,-0.73,0.24,7,21.05,13.81,32.86,-0.94,0.24,7,18.48,10.85,27.36,-0.87,0.24,7,19.81,11.27,29.58,-0.77,0.24,8,21.7,14.08,34.27,-0.66,0.22,8,25.12,17.45,37.26,-0.68,0.23,8,24.17,16.98,36.79,-0.64,0.2,8,24.27,13.53,33.33
GUINEA,GIN,-1.24,0.43,3,11.54,4.31,28.23,-0.69,0.38,3,24.04,10.53,42.58,-2.03,0.4,3,3.85,0,11.48,-1.57,0.4,3,10.1,1.44,18.66,-0.84,0.33,3,22.6,10.53,35.89,-1.05,0.32,4,17.31,6.7,28.23,-1.18,0.32,4,15.38,5.74,25.84,-1.89,0.28,5,4.33,0.96,9.09,-2.37,0.27,5,1.92,0.48,4.78,-2.1,0.27,5,2.39,1.43,9.05,-2.09,0.27,5,2.84,1.89,6.6,-1.68,0.27,5,4.72,3.76,12.21,-1.39,0.26,5,9.43,4.69,18.31,-1.28,0.23,7,10.9,6.6,18.87,-1.22,0.23,7,11.37,8.02,19.81,-0.93,0.21,7,15.53,8.7,25.6
GUINEA-BISSAU,GNB,-1.72,0.43,3,6.25,2.39,18.18,-1.96,0.38,3,5.29,0.48,10.53,-0.5,0.4,3,29.81,14.35,52.63,-0.87,0.4,3,19.71,10.53,39.23,-0.53,0.33,3,28.37,18.66,42.11,-0.39,0.35,3,31.73,19.14,53.11,-0.57,0.36,3,27.88,15.79,46.89,-0.48,0.36,3,30.29,17.22,48.8,-0.44,0.34,3,29.81,17.7,47.37,-0.69,0.33,3,22.97,13.33,39.52,-0.65,0.29,4,23.7,15.09,39.62,-0.66,0.3,4,25.47,13.62,39.91,-0.73,0.34,3,23.58,11.74,40.38,-0.96,0.27,4,18.01,8.02,30.19,-0.89,0.28,4,19.43,8.49,32.55,-0.74,0.25,4,21.36,10.63,32.37
GUYANA,GUY,-0.38,0.43,3,33.65,16.75,55.5,0,0.38,3,45.19,25.36,65.07,-0.61,0.4,3,26.92,12.92,47.85,-0.67,0.4,3,25,13.88,44.5,-0.48,0.33,3,29.33,19.14,45.93,-0.55,0.32,4,27.4,16.27,44.02,-0.45,0.3,5,32.69,20.57,47.85,-0.76,0.27,6,23.56,13.88,33.49,-0.55,0.26,6,26.92,17.7,39.23,-0.65,0.26,6,24.88,15.71,36.67,-0.62,0.26,6,25.12,15.57,38.68,-0.44,0.26,6,31.13,20.66,46.95,-0.43,0.25,6,32.55,20.19,47.42,-0.48,0.24,6,31.28,20.28,42.45,-0.44,0.24,6,31.28,20.28,44.34,-0.16,0.21,6,39.81,28.99,54.59
HAITI,HTI,-0.89,0.43,3,19.71,8.61,40.19,-1.06,0.38,3,16.35,7.66,30.62,-0.75,0.4,3,24.52,11.48,40.19,-1.36,0.37,4,13.46,3.35,24.4,-1.36,0.32,4,10.58,4.78,23.44,-2,0.32,4,3.85,0.96,7.66,-1.82,0.32,4,4.81,0.96,11.48,-1.39,0.28,5,10.58,5.26,18.66,-1.32,0.27,5,10.1,7.18,18.66,-1.39,0.27,5,10.05,6.19,16.67,-1,0.25,6,16.59,10.38,26.42,-0.99,0.25,6,16.51,9.86,26.29,-1.03,0.24,7,16.51,7.51,27.23,-0.82,0.23,7,21.33,13.21,33.49,-0.65,0.23,7,25.12,16.98,37.74,-0.61,0.21,7,25.24,14.01,34.78
HONDURAS,HND,-0.57,0.37,4,26.92,13.88,47.37,-0.06,0.34,4,42.31,25.84,62.2,-0.18,0.33,4,37.02,24.88,59.81,-0.33,0.3,5,35.1,22.49,47.85,-0.41,0.29,5,31.73,21.05,45.93,-0.42,0.28,6,30.77,19.62,47.37,-0.65,0.28,6,25.96,17.22,39.71,-0.67,0.27,6,25.96,16.27,40.19,-0.44,0.26,6,29.33,18.66,43.06,-0.54,0.26,6,27.75,16.67,40,-0.33,0.24,7,33.18,22.17,47.64,-0.54,0.24,7,26.89,17.84,40.85,-0.43,0.24,7,33.02,20.66,46.95,-0.41,0.23,7,34.6,22.17,42.92,-0.49,0.23,7,29.38,19.81,42.45,-0.51,0.2,8,28.64,18.36,39.13
"HONG KONG SAR, CHINA",HKG,0.45,0.41,3,59.62,39.23,86.6,0.58,0.38,3,64.42,43.06,93.78,0.84,0.33,4,75.96,56.94,95.69,0.82,0.3,5,75.48,57.42,95.22,0.89,0.31,5,78.37,57.89,97.13,1.12,0.3,6,87.02,66.99,100,1.28,0.29,6,92.79,71.77,100,1.11,0.25,7,87.5,66.99,100,1.04,0.25,7,85.1,68.9,98.56,1.08,0.25,7,87.08,69.05,99.52,0.93,0.25,6,82.46,63.68,94.81,0.88,0.26,6,78.77,61.5,93.9,0.92,0.28,7,74.06,61.97,97.65,0.98,0.25,7,79.62,64.15,97.64,0.88,0.26,7,74.88,62.26,92.92,1.13,0.22,7,89.81,71.98,99.03
HUNGARY,HUN,0.91,0.37,4,76.44,55.5,100,1.12,0.34,4,87.98,64.11,100,0.82,0.3,5,75,58.85,94.26,1.18,0.28,6,87.98,67.94,99.52,1.11,0.28,6,87.02,66.03,99.52,0.81,0.28,7,74.52,59.33,92.82,0.98,0.27,7,79.81,64.59,99.04,0.96,0.24,8,79.33,64.11,95.69,0.72,0.24,8,70.67,55.98,87.08,0.72,0.24,8,70.33,55.71,88.57,0.52,0.24,8,63.98,49.06,80.19,0.67,0.24,8,68.87,54.93,86.38,0.73,0.24,8,70.28,58.22,89.2,0.67,0.22,9,68.72,56.6,83.02,0.78,0.22,9,70.14,61.32,90.57,0.7,0.2,9,69.42,59.42,85.51
ICELAND,ISL,1.25,0.43,3,94.71,63.64,100,1.3,0.38,3,95.19,68.9,100,1.5,0.35,4,98.08,78.47,100,1.54,0.34,5,99.04,80.38,100,1.51,0.31,5,99.04,82.78,100,1.44,0.3,6,98.56,78.95,100,1.45,0.29,6,99.52,79.43,100,1.44,0.26,7,99.52,82.3,100,1.49,0.26,7,99.52,85.65,100,1.22,0.26,7,93.78,72.38,100,1.18,0.26,6,90.52,72.17,100,1.01,0.25,7,84.91,67.61,94.84,1.23,0.25,7,92.45,70.42,99.53,1.22,0.23,8,91.94,73.11,99.53,1.26,0.23,8,92.42,75,99.53,1.24,0.2,8,93.2,78.74,99.52
INDIA,IND,-0.91,0.37,4,19.23,8.61,35.41,-1.14,0.34,4,13.94,7.66,26.32,-0.99,0.3,5,17.79,9.57,30.14,-1.24,0.28,6,15.87,5.74,23.44,-1.53,0.28,6,8.65,4.31,18.66,-1.22,0.28,7,13.46,5.74,22.49,-0.99,0.27,7,17.79,8.13,29.19,-1.06,0.24,8,17.31,9.09,26.32,-1.15,0.24,8,13.94,9.09,22.49,-1.1,0.24,8,14.35,9.52,21.9,-1.33,0.24,8,10.9,5.66,19.34,-1.23,0.24,8,12.26,6.1,21.6,-1.3,0.24,9,11.32,5.63,19.72,-1.25,0.22,9,11.85,6.6,19.34,-1.18,0.22,9,12.8,8.02,20.28,-0.96,0.2,9,13.59,8.7,24.64
INDONESIA,IDN,-1.18,0.37,4,12.98,6.22,26.79,-1.77,0.34,4,6.25,1.91,12.92,-2.04,0.3,5,3.37,0.96,8.61,-1.62,0.28,6,8.65,2.39,16.27,-2.12,0.28,6,2.88,0.48,5.74,-1.87,0.28,7,4.33,1.91,8.61,-1.48,0.27,7,7.21,4.31,17.22,-1.4,0.24,8,9.62,6.7,17.7,-1.2,0.24,8,12.98,8.61,20.1,-1.09,0.24,8,15.31,10,23.33,-0.76,0.24,8,20.85,15.09,32.08,-0.85,0.24,8,20.75,11.74,29.58,-0.77,0.24,9,22.17,14.08,34.27,-0.58,0.22,9,27.96,18.87,39.15,-0.5,0.22,9,28.91,19.81,41.98,-0.37,0.2,9,31.07,23.19,44.44
"IRAN, ISLAMIC REP.",IRN,-0.37,0.37,4,34.13,18.18,53.59,-0.74,0.34,4,22.6,11.48,38.28,-0.76,0.33,4,24.04,12.44,36.84,-0.82,0.31,4,22.6,13.88,35.89,-0.83,0.3,4,23.08,12.44,33.97,-0.78,0.29,5,21.63,13.4,35.89,-0.81,0.29,5,22.6,11.48,35.89,-1.08,0.25,6,16.83,8.61,26.32,-0.99,0.25,6,17.79,10.05,26.79,-0.98,0.25,6,16.27,10,26.67,-1.55,0.25,6,8.53,4.25,15.09,-1.62,0.24,7,6.13,3.76,12.68,-1.42,0.24,8,8.02,4.69,16.9,-1.33,0.22,8,9.48,5.66,17.92,-1.26,0.23,8,10.9,8.02,19.81,-0.91,0.2,8,16.99,9.66,26.09
IRAQ,IRQ,-1.85,0.37,4,4.81,2.39,11,-1.6,0.34,4,8.65,4.31,16.75,-1.78,0.33,4,6.25,0.96,14.35,-1.65,0.31,4,8.17,1.91,16.75,-2.43,0.3,4,0.48,0,4.78,-3.18,0.32,4,0,0,0.96,-2.72,0.29,5,0.48,0,1.44,-2.83,0.28,5,0,0,0.96,-2.79,0.27,5,0.48,0.48,2.39,-2.48,0.27,5,1.44,0.48,2.86,-2.19,0.28,4,2.37,1.42,5.66,-2.26,0.27,5,2.36,0.47,4.69,-1.84,0.26,5,4.25,2.35,8.45,-1.93,0.24,6,4.74,2.36,6.6,-2.02,0.24,6,4.27,1.89,7.55,-2.47,0.22,6,2.43,0,5.31
IRELAND,IRL,1.28,0.37,4,95.67,68.9,100,1.44,0.34,4,99.52,77.51,100,1.5,0.3,5,97.6,79.43,100,1.42,0.28,6,96.63,80.38,100,1.33,0.28,6,97.12,77.03,100,1.17,0.28,7,90.87,72.25,100,1.29,0.27,7,93.27,72.73,100,1.14,0.24,8,88.46,67.94,100,1.16,0.24,8,92.31,72.25,100,1.15,0.24,8,90.43,71.43,100,1.02,0.24,8,85.78,69.34,95.28,0.98,0.24,8,82.55,67.14,94.37,0.93,0.24,8,75,63.85,94.84,0.92,0.23,8,76.78,63.68,92.92,0.88,0.23,8,74.41,64.62,91.98,1.07,0.2,8,86.41,70.53,98.07
ISRAEL,ISR,-1.24,0.37,4,11.06,5.26,23.92,-1.2,0.34,4,12.98,7.66,25.36,-1.07,0.3,5,16.35,8.61,28.23,-1.51,0.28,6,10.58,3.35,18.18,-1.56,0.28,6,8.17,3.83,18.66,-1.33,0.28,7,11.06,4.78,19.62,-1.29,0.27,7,11.54,5.74,22.49,-1.28,0.24,8,12.98,8.13,20.57,-1.27,0.24,8,11.54,8.13,18.66,-1.34,0.24,8,11,8.57,16.67,-1.62,0.24,8,7.11,3.77,13.21,-1.32,0.24,8,10.38,4.69,17.84,-1.19,0.24,8,13.21,5.63,20.66,-1.07,0.23,8,16.59,8.02,23.58,-1.09,0.23,8,15.64,8.02,23.11,-0.99,0.2,8,13.11,8.7,23.67
ITALY,ITA,1.04,0.37,4,83.65,58.85,100,1.13,0.34,4,88.46,64.11,100,0.85,0.3,5,76.92,59.81,95.69,0.76,0.28,6,72.12,56.94,94.26,0.41,0.28,6,58.17,39.71,77.51,0.27,0.28,7,55.29,38.76,72.73,0.47,0.27,7,62.5,47.37,77.51,0.5,0.24,8,61.54,48.8,75.12,0.44,0.24,8,60.1,44.5,75.6,0.53,0.24,8,64.11,49.52,78.57,0.34,0.24,8,55.45,42.92,70.75,0.47,0.24,8,63.21,50.23,77.46,0.51,0.24,9,63.68,50.23,73.24,0.51,0.22,9,63.03,51.42,73.58,0.5,0.22,9,64.45,51.42,72.64,0.5,0.2,9,64.08,53.14,76.33
JAMAICA,JAM,0.01,0.37,4,46.63,26.32,63.64,0.01,0.34,4,45.67,27.75,63.64,0.08,0.33,4,49.52,31.1,66.03,-0.29,0.3,5,36.54,23.92,49.76,-0.4,0.29,5,32.21,21.05,46.41,-0.33,0.28,6,33.17,21.53,50.24,-0.28,0.28,6,36.54,24.88,52.15,-0.29,0.27,6,34.62,25.36,52.15,-0.2,0.26,6,37.02,24.88,53.11,-0.26,0.26,6,35.41,22.86,50.48,-0.35,0.26,6,32.7,20.75,48.11,-0.41,0.26,6,32.08,21.6,47.42,-0.08,0.25,7,43.87,30.52,58.22,0.11,0.22,8,49.76,38.21,62.26,0.17,0.23,8,54.5,38.68,64.62,0.09,0.2,8,50.49,35.27,60.39
JAPAN,JPN,1.11,0.37,4,86.54,62.68,100,1.19,0.34,4,89.9,65.07,100,1.13,0.3,5,87.5,66.03,99.04,1.11,0.28,6,85.58,65.55,99.52,1,0.28,6,83.17,63.16,98.56,0.99,0.28,7,80.29,63.16,98.56,0.99,0.27,7,80.29,64.59,99.04,1.09,0.24,8,87.02,66.99,99.52,0.96,0.24,8,80.29,65.55,96.17,0.84,0.24,8,75.6,59.05,94.76,0.94,0.24,8,83.41,65.57,94.34,0.85,0.24,8,76.89,62.44,92.49,0.98,0.24,9,81.13,65.26,97.18,0.92,0.22,9,77.25,64.15,92.92,0.99,0.22,9,81.99,66.04,97.17,1.02,0.2,9,84.47,69.08,97.58
"JERSEY, CHANNEL ISLANDS",JEY,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.48,0.51,1,98.58,68.54,100,1.47,0.49,1,99.05,68.4,100,1.48,0.47,1,99.05,67.45,100,1.48,0.48,1,98.54,69.08,100
JORDAN,JOR,-0.15,0.37,4,41.83,21.53,59.81,-0.05,0.34,4,42.79,25.84,62.68,-0.09,0.33,4,40.38,26.79,64.11,-0.56,0.3,5,27.4,18.66,43.54,-0.12,0.28,6,39.42,27.75,57.42,-0.23,0.28,7,37.02,23.92,54.55,-0.13,0.27,7,42.31,27.75,55.98,-0.77,0.24,8,23.08,13.88,33.01,-0.31,0.24,8,33.65,23.44,46.41,-0.36,0.24,8,31.1,20.48,45.24,-0.36,0.24,8,32.23,22.17,45.75,-0.31,0.24,8,34.43,24.41,50.23,-0.52,0.24,9,29.72,19.72,41.78,-0.52,0.22,9,29.86,19.34,40.09,-0.62,0.22,9,25.59,18.4,38.21,-0.56,0.2,9,26.21,17.87,36.71
KAZAKHSTAN,KAZ,-0.52,0.4,3,28.85,13.88,49.76,0.05,0.34,4,47.6,27.75,65.07,0.01,0.33,4,45.67,28.71,65.55,0.29,0.31,4,56.73,39.23,74.16,0.32,0.3,4,57.21,38.28,72.25,0.06,0.29,5,48.08,31.1,64.11,0.18,0.28,6,52.4,36.84,66.99,0.2,0.25,7,52.88,40.19,65.07,0.58,0.24,7,66.83,50.24,81.34,0.57,0.24,8,66.99,50.95,80.48,0.75,0.24,8,72.04,57.08,88.68,0.45,0.24,8,61.79,49.3,76.53,-0.32,0.24,8,36.32,23.94,49.3,-0.38,0.22,9,36.02,22.17,43.4,-0.38,0.22,9,34.6,22.17,46.7,0.05,0.2,9,47.57,33.82,59.42
KENYA,KEN,-0.73,0.37,4,21.63,10.53,43.06,-0.96,0.34,4,16.83,10.05,31.1,-1.14,0.33,4,14.9,7.66,27.27,-1.25,0.31,4,15.38,5.74,24.4,-1.28,0.29,5,12.98,5.74,24.4,-1.07,0.28,6,16.35,7.18,24.88,-1.27,0.28,6,12.02,5.74,22.97,-1.12,0.25,7,15.38,8.61,25.36,-1.27,0.24,7,11.06,8.13,18.66,-1.38,0.24,7,10.53,8.1,16.19,-1.43,0.24,7,9.48,5.66,15.57,-1.17,0.24,7,13.21,7.98,22.54,-1.24,0.24,8,12.74,5.63,20.19,-1.32,0.22,8,10.43,6.13,18.87,-1.15,0.23,8,13.74,8.02,20.75,-1.27,0.2,8,8.74,7.73,15.46
KIRIBATI,KIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,0.57,1,94.71,54.07,100,1.19,0.38,2,92.31,64.59,100,1.42,0.4,2,98.56,68.42,100,1.4,0.39,2,98.56,69.86,100,1.38,0.37,2,98.56,73.21,100,1.38,0.36,2,99.04,71.9,100,1.44,0.32,3,97.16,80.19,100,1.48,0.33,3,97.64,80.75,100,1.34,0.37,2,96.7,69.95,100,1.32,0.33,2,95.73,71.23,99.53,1.32,0.36,2,94.31,68.87,99.53,0.72,0.32,1,70.39,54.59,93.24
"KOREA, DEM. REP.",PRK,-0.51,0.43,3,29.33,12.44,53.11,-0.45,0.38,3,29.81,15.31,51.2,0.03,0.4,3,46.15,26.79,69.38,0.2,0.4,3,49.52,28.71,77.99,0.21,0.33,3,50.96,33.97,70.33,0.16,0.32,4,52.4,32.06,71.29,-0.04,0.32,4,44.71,28.71,63.16,-0.08,0.3,4,43.27,27.27,58.85,0.5,0.34,3,62.02,41.15,85.65,0.54,0.33,3,64.59,44.76,87.14,-0.03,0.28,4,43.13,28.3,61.32,-0.38,0.29,4,33.49,21.13,50.7,-0.32,0.29,4,36.79,20.66,53.05,-0.11,0.27,4,41.71,28.3,58.02,-0.54,0.25,5,27.96,18.4,41.51,-1.09,0.22,5,11.17,8.7,21.74
"KOREA, REP.",KOR,0.52,0.37,4,62.98,44.5,86.6,0.42,0.34,4,60.1,39.71,79.43,0.3,0.3,5,58.17,36.84,74.64,0.17,0.28,6,48.08,35.89,65.55,0.21,0.28,6,50.48,36.36,68.42,0.4,0.28,7,61.06,43.54,76.08,0.45,0.27,7,61.06,46.41,77.03,0.38,0.24,8,58.17,44.5,70.33,0.53,0.24,8,62.98,47.85,78.95,0.4,0.24,8,57.89,44.76,71.9,0.38,0.24,8,58.29,44.34,72.64,0.29,0.24,8,55.19,42.72,69.95,0.39,0.24,9,60.85,47.89,70.42,0.24,0.22,9,54.98,41.04,65.09,0.25,0.22,9,56.87,42.45,66.04,0.19,0.2,9,53.88,40.58,64.25
