country,countrycode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BELGIUM,BEL,1.21,0.37,4,92.79,63.64,100,0.97,0.34,4,79.33,59.81,100,1.05,0.3,5,81.73,65.55,99.04,1.17,0.28,6,87.5,67.94,99.52,0.84,0.28,6,74.52,57.42,96.17,0.7,0.28,7,71.63,54.55,89.95,0.78,0.27,7,70.19,56.46,89.95,0.85,0.26,7,74.04,58.85,95.22,0.77,0.26,7,72.6,56.46,93.3,0.62,0.26,7,67.94,52.38,85.71,0.79,0.24,8,73.93,59.43,90.57,0.78,0.24,8,72.17,57.28,89.67,0.93,0.24,9,75.47,64.32,94.84,0.9,0.22,9,74.41,63.21,92.92,0.92,0.22,9,75.83,65.09,92.45,0.71,0.2,9,69.9,59.42,85.51
BELIZE,BLZ,0.46,0.48,2,60.58,34.45,95.22,0.5,0.44,2,62.5,36.36,94.26,0.11,0.46,2,50,26.32,77.03,0.34,0.45,2,57.69,30.14,85.17,0.47,0.36,2,62.02,39.23,85.65,0.44,0.34,3,61.54,40.67,80.38,0.11,0.35,3,50.96,32.06,66.99,0.05,0.29,4,47.6,31.1,63.16,0.16,0.29,4,49.04,34.45,68.9,0.18,0.29,4,51.2,33.81,69.05,0.03,0.29,4,45.5,30.66,63.68,0.06,0.28,4,49.53,32.39,64.79,0.15,0.27,5,51.89,38.03,64.79,0.18,0.26,4,52.61,38.21,65.09,0.17,0.26,4,54.03,38.21,65.57,0.05,0.23,5,48.06,33.33,60.39
BENIN,BEN,0.96,0.48,2,81.73,51.2,100,0.66,0.44,2,68.75,41.63,98.56,0.72,0.46,2,70.67,42.58,96.65,0.74,0.45,2,71.63,44.98,97.61,0.67,0.36,2,67.79,47.37,95.22,0.26,0.34,3,54.81,35.89,74.64,0.45,0.33,4,60.58,43.06,79.9,0.52,0.26,6,62.5,48.8,78.47,0.33,0.25,6,55.77,40.19,71.77,0.33,0.26,6,55.98,40.48,71.43,0.38,0.26,6,57.35,42.92,74.06,0.22,0.25,6,52.83,39.44,68.08,0.29,0.25,6,56.6,41.78,69.01,0.32,0.24,6,57.82,42.45,69.34,0.26,0.24,6,57.82,41.51,66.51,0.05,0.23,5,47.09,33.33,60.39
BERMUDA,BMU,0.65,0.61,1,66.35,34.45,100,0.65,0.58,1,67.31,32.06,100,0.64,0.59,1,67.31,34.45,99.04,0.72,0.52,1,69.23,42.11,99.52,0.82,0.42,1,74.04,48.33,99.04,0.91,0.38,2,77.88,55.98,99.04,0.84,0.38,2,72.6,55.02,99.52,0.82,0.37,2,72.12,53.11,99.04,0.8,0.35,2,74.52,53.11,96.65,0.83,0.34,2,74.16,53.81,99.05,0.72,0.34,2,70.62,50.47,92.92,0.94,0.36,2,80.66,57.28,97.65,0.99,0.34,2,81.6,61.5,99.06,1,0.31,2,81.99,62.74,99.06,0.99,0.33,2,81.52,62.26,99.06,0.96,0.28,2,81.55,64.25,98.07
BHUTAN,BTN,0.62,0.48,2,63.94,40.19,99.52,0.44,0.44,2,60.58,33.01,89.47,0.41,0.46,2,60.58,33.49,87.56,0.6,0.45,2,64.42,42.11,95.22,0.91,0.36,2,79.81,56.94,98.56,1.17,0.34,3,91.35,66.51,100,1.3,0.35,3,94.23,67.94,100,1.31,0.34,3,95.67,67.94,100,0.62,0.32,3,68.75,46.89,89.47,0.75,0.32,3,71.29,52.38,95.71,0.82,0.29,4,75.83,54.72,93.87,0.77,0.28,4,71.7,55.87,92.02,0.86,0.27,4,71.7,61.03,93.9,0.81,0.26,4,72.51,59.91,92.92,0.8,0.25,5,70.62,60.85,91.51,1,0.22,5,82.52,67.15,97.58
BOLIVIA,BOL,-0.25,0.37,4,38.46,20.57,56.46,-0.29,0.34,4,33.17,19.62,55.98,-0.31,0.33,4,34.62,20.1,55.5,-0.39,0.3,5,30.29,19.62,47.37,-0.86,0.29,5,22.12,12.44,33.49,-0.69,0.28,6,23.56,14.83,37.32,-0.98,0.28,6,18.27,8.13,29.19,-0.82,0.25,7,22.6,13.4,31.1,-0.84,0.24,7,19.23,12.44,30.14,-0.71,0.24,7,22.49,13.81,33.33,-0.53,0.24,7,27.49,19.34,40.57,-0.44,0.24,7,30.19,21.6,43.66,-0.44,0.24,8,32.08,20.66,46.01,-0.5,0.22,8,30.33,20.28,41.04,-0.35,0.23,8,36.49,23.11,46.7,-0.36,0.2,8,31.55,23.19,44.93
BOSNIA AND HERZEGOVINA,BIH,-0.64,0.4,3,23.56,10.53,46.89,-0.63,0.37,3,25.48,12.44,44.98,-0.59,0.37,3,27.4,14.35,45.93,-0.25,0.33,3,38.46,23.44,56.94,-0.44,0.32,3,30.77,20.57,47.37,-0.03,0.3,5,44.23,28.23,61.72,-0.47,0.3,5,31.73,20.57,46.41,-0.42,0.28,5,31.25,21.05,46.89,-0.6,0.28,5,25.96,16.27,39.23,-0.51,0.28,5,28.71,16.67,42.38,-0.65,0.28,5,24.17,15.09,38.68,-0.7,0.27,5,24.53,13.62,36.15,-0.84,0.27,4,20.28,11.74,34.27,-0.54,0.23,7,28.91,18.87,40.57,-0.38,0.24,7,35.55,21.7,46.7,-0.06,0.22,6,43.69,29.95,57.49
BOTSWANA,BWA,0.92,0.37,4,77.4,55.5,100,0.87,0.34,4,76.92,56.94,99.04,0.96,0.33,4,78.85,60.29,98.09,0.79,0.3,5,73.08,56.94,94.74,1.08,0.29,5,86.06,65.55,99.52,0.89,0.31,5,76.92,59.81,96.65,1.06,0.28,6,84.13,65.55,99.52,0.96,0.25,7,80.29,63.64,96.17,0.98,0.24,7,82.21,66.99,96.65,0.98,0.24,7,81.34,67.62,99.05,0.93,0.24,7,82.94,65.09,94.81,0.96,0.24,7,82.08,65.73,94.37,1.05,0.24,7,83.49,68.54,98.12,1.08,0.22,8,88.15,69.34,98.58,1.08,0.23,8,85.78,67.45,98.11,1.02,0.2,8,85.44,68.6,97.58
BRAZIL,BRA,-0.25,0.37,4,37.98,20.57,56.46,-0.37,0.34,4,31.25,17.22,51.2,0.18,0.3,5,53.37,34.45,69.38,0.29,0.28,6,55.29,40.67,71.77,0,0.28,6,41.35,30.14,61.24,-0.28,0.28,7,36.06,22.97,53.11,-0.23,0.27,7,38.46,25.84,55.02,-0.28,0.24,8,36.06,25.84,49.76,-0.38,0.24,8,31.73,21.05,43.54,-0.29,0.24,8,34.45,23.33,49.05,0.16,0.24,8,50.71,37.26,65.57,0.01,0.24,8,47.17,32.86,57.28,-0.14,0.24,9,41.04,29.11,55.4,0.05,0.22,9,47.87,36.79,59.91,-0.28,0.22,9,36.97,25.47,50.47,-0.01,0.2,9,45.15,32.37,57.97
BRUNEI DARUSSALAM,BRN,1.16,0.43,3,87.02,60.29,100,1.03,0.38,3,85.1,59.81,100,1.24,0.4,3,93.27,66.03,100,1.08,0.4,3,85.1,60.29,100,1.14,0.33,3,87.98,65.07,100,1.4,0.35,3,97.12,74.64,100,1.26,0.36,3,91.83,66.99,100,1.19,0.36,3,91.83,65.07,100,1.17,0.34,3,93.27,68.42,100,1.16,0.29,5,92.34,69.52,100,1.36,0.26,6,95.26,83.49,100,1.24,0.26,6,92.45,74.18,100,1.1,0.25,6,86.79,69.01,98.59,0.92,0.24,6,76.3,63.21,93.87,1.08,0.24,6,86.26,67.45,98.58,1.27,0.22,5,95.15,78.74,99.52
