country,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Year,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
BELGIUM,1.81,0.23,5.00,93.17,88.83,100.00,1.86,0.21,5.00,93.17,89.32,100.00,1.78,0.21,5.00,92.20,89.32,99.03,1.99,0.19,5.00,96.59,90.78,100.00,1.96,0.19,5.00,96.10,91.26,100.00,1.92,0.21,5.00,94.15,90.78,99.51,1.74,0.19,5.00,93.66,88.83,99.03,1.72,0.20,6.00,93.17,87.86,98.54,1.61,0.22,6.00,91.75,86.96,97.58,1.38,0.23,6.00,87.86,80.68,94.20,1.59,0.21,7.00,92.82,85.24,97.62,1.58,0.22,7.00,92.82,84.29,98.10,1.66,0.22,7.00,93.84,86.32,98.58,1.59,0.22,7.00,93.78,85.24,98.57,1.59,0.21,7.00,93.30,85.71,98.57,1.40,0.23,7.00,88.46,80.38,95.22
BELIZE,0.38,0.31,1.00,66.34,52.91,79.61,0.00,0.29,2.00,55.61,34.95,70.39,-0.01,0.29,2.00,55.61,36.41,70.39,-0.03,0.28,2.00,56.10,35.92,68.45,-0.19,0.31,2.00,51.71,26.70,65.05,-0.36,0.30,3.00,46.34,19.42,63.11,-0.15,0.28,3.00,51.22,32.52,63.59,-0.41,0.26,4.00,40.00,21.84,55.83,-0.49,0.26,5.00,36.89,16.43,52.17,-0.54,0.25,5.00,36.41,15.94,51.21,-0.47,0.26,5.00,39.71,20.48,52.86,-0.44,0.26,5.00,40.19,20.48,55.71,-0.36,0.23,6.00,43.60,25.94,55.66,-0.18,0.27,4.00,47.85,31.43,60.95,-0.18,0.26,4.00,47.85,31.43,61.43,-0.67,0.29,4.00,25.96,12.92,45.45
BENIN,-0.41,0.31,1.00,40.00,17.48,59.22,-0.27,0.27,3.00,46.34,24.27,60.19,-0.27,0.28,3.00,45.37,25.73,61.17,-0.38,0.24,4.00,41.95,25.73,57.77,-0.33,0.26,4.00,43.41,23.30,60.68,-0.36,0.23,5.00,45.85,22.82,59.22,-0.62,0.19,7.00,31.71,16.99,45.15,-0.57,0.18,10.00,33.66,20.39,45.63,-0.51,0.20,10.00,34.95,20.77,50.24,-0.45,0.19,10.00,40.29,21.26,50.72,-0.56,0.19,10.00,37.32,20.95,48.10,-0.58,0.20,10.00,33.01,19.05,46.19,-0.52,0.20,10.00,37.44,20.75,48.11,-0.53,0.19,10.00,36.36,21.43,46.67,-0.54,0.17,11.00,34.45,22.38,45.24,-0.50,0.21,10.00,34.13,18.66,46.41
BERMUDA,1.17,0.31,1.00,85.85,75.73,90.78,1.17,0.34,1.00,86.34,75.24,91.75,1.14,0.37,1.00,85.85,71.36,91.26,1.10,0.32,1.00,84.88,71.84,90.29,1.04,0.38,1.00,81.95,67.48,91.75,1.06,0.42,1.00,82.44,67.96,91.26,0.99,0.32,1.00,80.98,67.96,89.32,0.99,0.41,1.00,81.46,65.05,92.72,0.98,0.47,1.00,81.55,61.84,94.20,1.01,0.45,1.00,80.58,64.25,94.20,1.00,0.42,1.00,80.86,64.29,93.81,1.00,0.44,1.00,80.38,63.81,94.29,0.99,0.42,1.00,80.09,63.21,94.34,1.00,0.39,1.00,79.90,63.81,94.29,1.00,0.37,1.00,79.90,66.19,93.81,0.92,0.46,1.00,77.40,60.77,93.30
BHUTAN,0.65,0.31,1.00,75.61,59.71,84.95,0.56,0.29,2.00,74.15,58.74,82.52,0.78,0.23,3.00,79.02,67.96,86.41,0.73,0.22,3.00,75.12,66.50,83.98,0.38,0.22,3.00,67.32,59.22,74.76,-0.14,0.22,4.00,52.68,35.92,65.53,0.28,0.23,5.00,63.41,52.91,72.33,0.18,0.24,5.00,60.98,48.06,70.39,0.19,0.27,4.00,60.19,46.38,72.95,0.22,0.28,4.00,61.17,46.38,73.43,0.48,0.24,6.00,67.46,57.62,76.67,0.57,0.23,6.00,69.86,61.90,78.57,0.62,0.24,6.00,71.09,62.26,80.66,0.48,0.23,6.00,67.46,58.57,76.19,0.36,0.20,8.00,64.11,55.71,70.95,0.27,0.22,8.00,62.50,49.76,72.73
BOLIVIA,-0.19,0.25,4.00,49.27,30.10,61.17,-0.06,0.21,4.00,54.63,40.78,63.59,-0.33,0.20,5.00,43.41,27.67,56.31,-0.29,0.18,7.00,45.37,32.04,57.77,-0.28,0.17,7.00,46.34,33.98,59.22,-0.55,0.18,8.00,33.17,19.42,48.06,-0.68,0.17,8.00,29.27,16.99,40.29,-0.64,0.18,10.00,29.27,17.96,42.72,-0.55,0.20,10.00,33.50,16.91,46.86,-0.61,0.20,10.00,33.50,16.91,45.89,-0.59,0.19,10.00,33.97,19.52,47.14,-0.50,0.20,10.00,37.80,22.86,49.05,-0.46,0.20,10.00,40.28,23.11,49.06,-0.37,0.19,10.00,42.58,28.57,53.33,-0.40,0.19,10.00,42.11,27.62,50.95,-0.59,0.20,10.00,29.81,17.22,44.50
BOSNIA AND HERZEGOVINA,-1.26,0.27,2.00,6.83,3.40,20.87,-1.08,0.23,3.00,12.20,4.37,24.27,-0.86,0.23,4.00,17.56,8.25,37.86,-0.97,0.20,5.00,13.17,7.77,29.61,-0.77,0.21,5.00,22.44,10.68,38.83,-0.57,0.19,7.00,31.71,17.48,48.06,-0.72,0.19,7.00,26.83,15.05,40.29,-0.60,0.20,8.00,30.24,18.93,45.63,-0.81,0.22,8.00,21.84,12.08,40.10,-0.59,0.22,8.00,33.98,16.43,46.86,-0.70,0.22,8.00,27.75,13.33,45.71,-0.73,0.22,8.00,27.75,13.81,43.33,-0.76,0.24,7.00,24.17,10.38,42.92,-0.47,0.21,9.00,39.23,23.33,50.00,-0.45,0.20,9.00,38.76,23.81,50.00,-0.47,0.24,8.00,36.54,18.66,51.67
BOTSWANA,0.47,0.25,3.00,68.29,57.77,78.64,0.50,0.20,5.00,71.22,60.19,78.16,0.51,0.21,5.00,70.73,61.17,79.13,0.59,0.17,8.00,73.17,64.08,79.13,0.73,0.17,8.00,74.63,67.48,81.07,0.64,0.17,9.00,73.17,67.96,79.61,0.66,0.17,9.00,72.20,64.56,78.16,0.52,0.17,11.00,69.76,63.59,76.70,0.59,0.18,11.00,72.82,63.29,77.78,0.56,0.18,11.00,70.39,63.29,77.29,0.48,0.18,11.00,67.94,60.48,75.71,0.46,0.18,11.00,67.46,60.48,75.24,0.48,0.18,11.00,67.77,60.85,75.47,0.45,0.19,10.00,66.99,60.00,73.33,0.37,0.18,11.00,65.55,58.57,70.48,0.32,0.19,11.00,64.90,55.98,72.73
BRAZIL,-0.15,0.23,6.00,50.73,32.52,61.17,-0.11,0.19,6.00,52.20,38.83,61.17,0.05,0.19,6.00,58.05,45.63,66.99,0.03,0.17,8.00,58.54,47.57,64.56,0.18,0.17,8.00,61.46,54.37,67.96,0.07,0.17,9.00,60.49,48.54,66.99,-0.10,0.17,9.00,52.68,41.75,60.19,-0.23,0.17,11.00,46.34,36.41,56.31,-0.20,0.19,11.00,49.03,36.23,56.52,-0.09,0.19,11.00,51.94,41.55,60.87,-0.10,0.18,11.00,51.20,42.86,60.95,-0.04,0.19,11.00,53.59,43.33,63.81,-0.12,0.19,11.00,49.76,41.98,60.85,-0.12,0.19,11.00,50.24,40.48,60.48,-0.08,0.18,11.00,51.20,42.86,61.43,-0.15,0.19,11.00,47.12,35.41,60.77
BRUNEI DARUSSALAM,0.99,0.29,2.00,83.41,69.42,89.81,0.91,0.28,2.00,81.46,70.39,88.35,0.88,0.31,2.00,80.49,66.99,88.35,0.86,0.28,2.00,79.02,67.48,87.86,0.67,0.31,2.00,73.17,61.17,84.95,0.21,0.34,2.00,65.37,47.09,76.70,0.58,0.28,2.00,70.24,58.74,82.52,0.84,0.33,2.00,77.07,65.05,87.86,0.92,0.35,2.00,79.13,65.22,89.37,0.91,0.29,3.00,78.64,66.67,87.92,0.94,0.24,4.00,77.99,70.00,87.62,0.90,0.25,4.00,77.51,69.05,86.67,0.89,0.24,4.00,77.25,67.92,86.32,0.83,0.24,4.00,75.12,66.19,85.24,0.86,0.23,4.00,74.16,68.10,86.19,1.08,0.31,3.00,81.73,72.25,91.39
