country,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Year,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014
"JERSEY, CHANNEL ISLANDS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.43,0.44,1.00,88.15,72.17,99.06,1.42,0.45,1.00,89.00,71.90,99.52,1.34,0.44,1.00,87.56,70.00,99.05,1.33,0.48,1.00,87.50,71.77,99.04
JORDAN,0.12,0.24,4.00,59.51,45.63,69.42,0.08,0.20,5.00,58.54,46.60,68.45,-0.01,0.20,5.00,56.10,42.72,65.53,0.12,0.18,6.00,60.98,50.97,67.96,0.24,0.17,7.00,63.41,55.83,69.90,0.12,0.18,8.00,63.41,51.46,68.45,0.07,0.17,8.00,57.56,48.54,64.08,0.18,0.18,10.00,61.46,52.91,68.45,0.22,0.19,10.00,62.62,52.17,71.01,0.22,0.19,10.00,61.65,52.17,69.57,0.28,0.19,9.00,63.16,53.81,70.48,0.13,0.20,9.00,59.33,48.10,67.14,0.10,0.20,9.00,58.77,47.64,66.51,-0.04,0.19,10.00,54.55,42.86,61.43,-0.11,0.18,10.00,50.24,41.43,60.00,0.13,0.19,10.00,59.62,45.45,70.81
KAZAKHSTAN,-1.07,0.27,2.00,13.17,3.88,29.13,-0.82,0.21,4.00,20.00,10.19,34.95,-0.71,0.20,6.00,25.85,12.14,40.78,-0.92,0.19,6.00,17.07,8.74,31.07,-0.65,0.19,6.00,27.80,15.53,42.72,-0.64,0.20,7.00,27.80,13.59,47.09,-0.55,0.18,8.00,34.63,21.84,46.60,-0.46,0.18,10.00,38.54,26.70,50.97,-0.56,0.20,9.00,32.52,16.91,46.86,-0.42,0.20,10.00,40.78,24.64,51.69,-0.36,0.19,10.00,44.02,29.05,52.86,-0.43,0.20,10.00,40.67,25.24,50.48,-0.43,0.21,9.00,42.18,24.06,53.30,-0.44,0.19,10.00,39.71,26.19,50.48,-0.54,0.19,10.00,35.41,21.90,46.19,-0.02,0.20,10.00,54.33,42.11,64.59
KENYA,-0.34,0.25,3.00,43.41,23.30,59.22,-0.49,0.20,5.00,34.15,19.90,50.00,-0.54,0.21,5.00,34.63,16.02,47.09,-0.67,0.19,7.00,28.29,13.11,42.72,-0.61,0.17,8.00,30.73,17.48,43.69,-0.53,0.17,9.00,34.15,20.39,48.06,-0.67,0.17,9.00,29.76,16.99,40.29,-0.58,0.17,11.00,31.22,20.39,45.15,-0.50,0.18,11.00,36.41,22.71,50.24,-0.59,0.18,11.00,34.47,17.39,45.89,-0.60,0.18,11.00,33.01,20.48,46.19,-0.54,0.18,11.00,36.36,21.90,46.67,-0.56,0.18,11.00,36.02,19.34,45.75,-0.54,0.18,11.00,35.89,21.43,45.71,-0.47,0.17,12.00,37.80,24.76,47.14,-0.30,0.18,12.00,43.27,28.71,55.50
KIRIBATI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.50,1.00,30.24,5.34,62.14,-0.20,0.28,2.00,46.83,27.67,63.11,-0.25,0.30,2.00,47.32,26.70,62.14,-0.78,0.26,2.00,21.95,9.22,41.75,-0.63,0.23,3.00,29.27,13.11,48.06,-0.52,0.25,3.00,36.59,16.99,52.43,-0.52,0.27,3.00,36.10,17.96,53.40,-0.68,0.29,3.00,27.18,12.08,48.31,-0.73,0.30,3.00,25.73,9.18,46.86,-0.80,0.29,4.00,21.53,7.14,46.19,-0.85,0.28,4.00,21.53,7.14,42.86,-0.78,0.29,4.00,23.70,8.49,45.75,-0.83,0.28,4.00,21.53,8.10,42.86,-0.85,0.26,4.00,22.01,9.52,40.95,-0.58,0.29,4.00,30.29,15.79,49.76
"KOREA, DEM. REP.",-1.91,0.29,2.00,1.46,0.00,5.83,-2.04,0.28,2.00,0.98,0.00,3.88,-1.92,0.31,2.00,1.46,0.00,5.34,-1.92,0.25,3.00,0.49,0.00,5.34,-1.91,0.27,3.00,0.98,0.00,5.34,-1.73,0.22,5.00,0.49,0.00,6.31,-1.75,0.21,5.00,0.49,0.49,5.34,-1.76,0.24,5.00,0.98,0.49,6.31,-2.23,0.31,3.00,0.49,0.00,1.93,-2.26,0.31,3.00,0.49,0.00,1.45,-1.81,0.25,5.00,0.48,0.48,5.71,-1.88,0.24,5.00,0.48,0.00,4.29,-1.87,0.24,5.00,0.95,0.00,4.72,-1.93,0.25,4.00,0.48,0.00,4.29,-1.93,0.25,4.00,0.48,0.00,4.29,-1.65,0.29,4.00,2.40,0.96,12.44
"KOREA, REP.",0.63,0.23,5.00,73.17,61.17,83.50,0.33,0.19,6.00,64.39,55.83,75.24,0.70,0.19,6.00,76.10,67.96,81.55,0.89,0.17,7.00,79.51,73.30,85.92,0.93,0.17,7.00,78.54,72.33,85.92,0.94,0.18,7.00,80.00,73.79,87.86,1.02,0.17,7.00,82.44,73.79,88.35,1.05,0.18,9.00,81.95,76.70,87.86,1.23,0.19,9.00,84.47,78.74,90.34,1.05,0.20,9.00,81.55,75.36,87.44,1.11,0.19,9.00,82.30,75.71,87.62,1.22,0.20,9.00,84.69,76.67,90.95,1.26,0.20,9.00,86.26,77.83,92.92,1.20,0.20,9.00,84.21,76.19,91.43,1.12,0.19,9.00,82.30,73.33,88.57,1.18,0.20,9.00,86.54,74.64,90.91
KOSOVO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.37,0.90,1.00,41.46,0.49,83.50,-0.21,0.57,2.00,48.06,12.08,76.81,-0.50,0.38,4.00,37.38,12.08,58.45,-0.42,0.40,4.00,42.58,13.33,61.90,-0.61,0.31,5.00,32.06,12.38,50.48,-0.50,0.31,5.00,38.86,15.57,55.19,-0.39,0.31,5.00,42.11,20.00,59.05,-0.41,0.31,5.00,41.15,19.05,58.57,-0.32,0.27,6.00,42.79,21.53,59.33
KUWAIT,0.13,0.25,3.00,60.00,45.63,69.42,-0.11,0.22,3.00,52.68,34.95,62.14,-0.12,0.24,3.00,52.20,35.92,64.08,0.08,0.20,4.00,60.49,47.57,67.48,0.06,0.22,3.00,60.00,44.66,67.48,0.07,0.25,3.00,60.98,47.09,70.39,0.23,0.19,5.00,62.44,55.34,69.42,0.24,0.20,7.00,63.41,53.40,70.87,0.11,0.22,7.00,55.83,46.38,68.12,0.01,0.22,7.00,55.83,42.51,66.18,0.21,0.22,7.00,61.72,50.00,70.00,0.18,0.22,7.00,61.24,48.57,69.05,0.02,0.22,7.00,55.45,43.87,66.04,-0.08,0.22,7.00,51.20,40.48,61.43,-0.07,0.21,7.00,51.67,40.48,61.90,-0.15,0.23,7.00,47.60,31.58,62.20
KYRGYZ REPUBLIC,-0.41,0.31,1.00,40.00,17.48,59.22,-0.13,0.29,2.00,51.22,29.13,66.50,-0.54,0.22,4.00,33.17,16.02,49.51,-0.67,0.21,5.00,28.78,12.62,44.17,-0.64,0.20,5.00,28.78,15.53,45.15,-0.72,0.21,6.00,23.90,10.68,44.66,-0.83,0.20,7.00,22.93,12.14,37.38,-0.78,0.18,9.00,25.37,14.08,37.38,-0.75,0.20,9.00,24.76,14.49,40.58,-0.77,0.21,9.00,21.36,12.56,40.58,-0.95,0.21,9.00,17.22,7.14,33.33,-0.63,0.21,9.00,31.58,16.19,44.29,-0.63,0.21,9.00,29.38,15.57,45.75,-0.66,0.21,9.00,29.19,15.71,43.81,-0.69,0.20,9.00,28.71,15.71,42.86,-0.84,0.22,9.00,18.75,11.48,35.41
LAO PDR,-0.67,0.31,1.00,27.80,11.65,50.49,-0.64,0.29,2.00,27.32,10.68,50.00,-0.81,0.23,3.00,20.49,9.71,38.35,-0.96,0.21,4.00,13.66,7.77,30.58,-1.06,0.21,4.00,13.17,5.34,25.73,-0.99,0.21,5.00,13.17,6.31,26.70,-1.22,0.23,5.00,10.24,2.43,21.84,-0.99,0.21,7.00,16.10,6.80,29.61,-0.87,0.22,7.00,16.99,9.18,36.23,-0.87,0.22,7.00,18.45,9.18,37.20,-0.96,0.23,8.00,16.75,7.14,34.76,-0.87,0.22,8.00,20.10,8.57,37.62,-0.85,0.22,8.00,20.38,8.96,39.15,-0.88,0.22,8.00,21.05,10.00,36.67,-0.76,0.19,9.00,24.40,14.29,40.00,-0.39,0.21,9.00,39.42,23.92,53.11
LATVIA,0.19,0.27,2.00,60.98,47.09,71.84,0.15,0.21,4.00,60.00,48.54,70.87,0.26,0.20,6.00,63.41,53.88,72.82,0.54,0.18,7.00,70.73,62.62,78.64,0.66,0.18,7.00,72.68,66.02,79.61,0.65,0.18,7.00,73.66,66.50,80.10,0.59,0.18,7.00,70.73,63.59,77.18,0.69,0.19,8.00,73.17,65.05,81.55,0.49,0.21,8.00,69.42,58.45,77.78,0.56,0.21,8.00,70.87,60.87,78.26,0.63,0.20,9.00,72.25,63.81,78.10,0.72,0.21,9.00,73.68,65.71,81.43,0.71,0.22,8.00,72.51,65.09,82.08,0.83,0.22,8.00,74.64,67.14,83.81,0.88,0.20,9.00,76.08,69.52,85.24,0.97,0.22,9.00,77.88,72.73,87.56
LEBANON,-0.06,0.25,3.00,54.15,34.47,64.08,0.02,0.21,4.00,56.10,43.69,67.48,-0.14,0.22,4.00,50.73,36.41,61.65,-0.28,0.18,6.00,45.85,33.01,57.77,-0.21,0.19,5.00,49.27,34.95,61.17,-0.29,0.20,6.00,47.32,30.58,59.22,-0.21,0.20,6.00,48.29,35.92,58.74,-0.32,0.21,8.00,44.39,29.13,55.83,-0.34,0.21,8.00,44.66,26.57,54.59,-0.41,0.21,8.00,41.26,22.71,52.66,-0.49,0.21,8.00,38.76,20.95,50.00,-0.28,0.20,9.00,44.98,32.86,57.14,-0.26,0.20,9.00,45.97,34.43,56.60,-0.34,0.19,9.00,43.06,29.05,55.24,-0.39,0.19,9.00,42.58,28.10,50.95,-0.38,0.20,9.00,40.87,24.88,53.11
LESOTHO,-0.14,0.31,1.00,52.20,28.16,65.05,-0.13,0.27,3.00,50.73,31.07,64.08,-0.17,0.28,3.00,48.78,29.61,64.08,-0.11,0.27,4.00,53.17,33.50,64.56,-0.18,0.28,4.00,52.68,28.64,65.05,-0.39,0.25,5.00,43.41,20.87,59.22,-0.17,0.24,5.00,49.76,34.47,62.14,-0.36,0.19,7.00,42.44,29.13,53.88,-0.40,0.20,8.00,41.26,25.12,52.17,-0.39,0.20,8.00,41.75,26.57,52.66,-0.29,0.20,8.00,46.41,31.90,57.62,-0.32,0.21,8.00,44.02,30.48,56.67,-0.30,0.21,8.00,45.50,28.77,56.13,-0.39,0.20,9.00,41.63,26.67,53.33,-0.44,0.18,10.00,40.19,26.19,49.05,-0.51,0.20,10.00,33.17,18.66,45.45
LIBERIA,-1.87,0.29,2.00,1.95,0.00,5.83,-1.98,0.24,4.00,1.46,0.00,3.88,-1.84,0.25,4.00,2.44,0.97,5.34,-1.61,0.24,4.00,3.41,0.49,8.74,-1.51,0.26,4.00,4.39,0.97,12.14,-1.59,0.24,5.00,2.93,0.49,8.25,-1.37,0.23,4.00,6.34,0.49,15.53,-1.19,0.25,4.00,8.78,2.43,26.70,-1.25,0.27,5.00,8.25,1.93,22.71,-1.31,0.22,8.00,6.31,1.45,16.43,-1.24,0.20,9.00,7.66,2.86,20.48,-1.27,0.20,9.00,7.66,3.33,18.10,-1.24,0.20,9.00,8.53,4.72,17.92,-1.17,0.18,11.00,12.44,5.71,21.43,-1.37,0.17,12.00,7.66,1.90,13.81,-1.37,0.20,11.00,7.69,1.91,16.27
LIBYA,-0.86,0.25,3.00,19.02,6.80,34.95,-0.93,0.22,3.00,15.61,7.28,31.55,-1.10,0.24,3.00,10.24,3.40,26.70,-0.99,0.20,4.00,12.68,6.80,29.61,-0.88,0.21,4.00,18.05,9.22,34.47,-0.86,0.23,4.00,18.54,7.77,36.41,-1.06,0.21,4.00,13.66,4.85,27.67,-1.11,0.25,4.00,12.68,3.88,27.67,-1.20,0.23,5.00,11.17,3.38,21.74,-1.16,0.21,6.00,11.17,3.38,20.77,-1.08,0.20,7.00,12.92,5.71,26.67,-1.10,0.21,8.00,12.92,5.24,24.76,-1.35,0.22,7.00,7.11,1.89,15.57,-1.49,0.20,8.00,5.26,0.95,12.86,-1.48,0.19,9.00,5.74,0.95,12.86,-1.64,0.20,9.00,2.88,1.44,8.61
LIECHTENSTEIN,1.70,0.31,1.00,91.22,86.41,100.00,1.70,0.34,1.00,91.71,84.95,100.00,1.68,0.37,1.00,90.73,83.50,100.00,1.65,0.32,1.00,90.73,84.95,100.00,1.56,0.38,1.00,90.24,79.61,99.51,1.60,0.42,1.00,91.22,78.64,99.51,1.52,0.32,1.00,90.24,81.55,99.03,1.78,0.41,1.00,94.63,83.01,100.00,1.76,0.47,1.00,95.15,81.64,100.00,1.80,0.45,1.00,96.12,81.64,100.00,1.78,0.32,2.00,96.65,85.71,100.00,1.76,0.33,2.00,95.22,84.76,100.00,1.75,0.32,2.00,95.73,84.91,100.00,1.76,0.31,2.00,95.69,87.14,100.00,1.73,0.29,2.00,95.22,86.67,100.00,1.68,0.35,2.00,94.23,82.30,100.00
LITHUANIA,0.32,0.27,2.00,63.90,52.91,76.21,0.26,0.21,4.00,62.44,54.37,74.76,0.06,0.20,6.00,60.00,45.15,66.99,0.53,0.18,7.00,69.76,62.14,76.21,0.76,0.18,7.00,76.10,67.96,82.04,0.75,0.18,7.00,75.61,68.45,81.55,0.79,0.18,7.00,74.63,68.93,83.01,0.75,0.20,8.00,76.59,67.48,82.04,0.71,0.19,10.00,74.76,65.70,82.13,0.62,0.20,10.00,72.82,65.70,79.23,0.70,0.21,9.00,73.21,64.76,81.90,0.76,0.21,9.00,75.12,66.19,81.90,0.72,0.21,9.00,72.99,65.57,82.08,0.83,0.21,9.00,74.16,68.57,83.81,0.82,0.20,9.00,73.68,69.05,82.86,0.99,0.22,9.00,78.85,72.73,87.56
LUXEMBOURG,2.05,0.26,4.00,99.51,90.29,100.00,2.02,0.25,4.00,97.56,90.29,100.00,1.97,0.24,4.00,96.59,89.32,100.00,2.03,0.26,3.00,98.54,89.32,100.00,1.93,0.24,4.00,95.61,89.81,100.00,1.93,0.25,4.00,94.63,89.81,99.51,1.78,0.22,4.00,95.61,88.83,99.03,1.59,0.20,5.00,91.22,85.92,97.57,1.59,0.22,5.00,91.26,84.06,97.10,1.61,0.23,5.00,92.72,85.02,98.07,1.75,0.22,6.00,95.69,87.62,98.57,1.71,0.23,6.00,94.26,87.14,99.05,1.74,0.23,6.00,95.26,87.26,99.06,1.66,0.23,6.00,94.74,87.14,99.05,1.62,0.22,6.00,94.26,86.67,99.05,1.66,0.24,6.00,93.27,87.08,99.04
"MACAO SAR, CHINA",0.38,0.31,1.00,66.34,52.91,79.61,0.38,0.34,1.00,68.29,49.03,81.55,0.61,0.37,1.00,74.15,56.31,87.38,0.83,0.32,1.00,78.54,64.08,87.86,1.30,0.38,1.00,89.27,73.30,95.63,1.09,0.42,1.00,83.90,68.45,91.26,1.25,0.32,1.00,87.80,73.79,95.63,0.99,0.41,1.00,81.46,65.05,92.72,0.98,0.47,1.00,81.55,61.84,94.20,1.01,0.45,1.00,80.58,64.25,94.20,1.32,0.32,2.00,87.08,75.71,97.62,1.32,0.33,2.00,87.08,75.24,97.62,1.31,0.32,2.00,86.73,75.47,96.70,1.07,0.31,2.00,81.82,69.52,92.86,1.04,0.29,2.00,80.38,69.52,91.43,1.45,0.35,2.00,89.42,75.60,99.04
"MACEDONIA, FYR",-0.62,0.27,2.00,29.27,13.59,49.03,-0.62,0.23,3.00,28.78,14.08,46.60,-0.78,0.23,4.00,22.44,10.19,40.78,-0.50,0.20,5.00,34.63,22.33,50.97,-0.33,0.19,6.00,43.90,29.13,57.28,-0.13,0.19,7.00,53.66,40.29,64.08,-0.28,0.19,7.00,45.85,33.98,56.31,-0.10,0.20,8.00,53.17,39.81,62.62,-0.20,0.22,8.00,49.51,32.37,58.45,-0.02,0.22,8.00,54.85,42.03,66.18,-0.09,0.23,7.00,51.67,40.95,63.33,-0.15,0.24,7.00,49.76,36.67,62.86,-0.11,0.23,6.00,51.18,39.15,63.21,-0.07,0.23,6.00,51.67,39.52,61.43,-0.06,0.22,7.00,53.11,40.48,61.90,0.15,0.24,7.00,60.58,44.50,72.25
MADAGASCAR,-0.58,0.29,2.00,31.22,14.08,53.40,-0.83,0.24,4.00,19.51,8.25,38.83,-0.64,0.25,4.00,28.78,12.14,46.12,-0.47,0.22,5.00,36.10,21.84,53.40,-0.45,0.21,6.00,38.05,21.84,53.88,-0.48,0.19,7.00,37.56,20.87,50.97,-0.37,0.18,8.00,41.95,29.61,55.83,-0.53,0.17,11.00,35.12,23.30,45.63,-0.44,0.18,11.00,40.29,25.12,51.21,-0.63,0.18,11.00,30.10,16.91,44.93,-0.78,0.18,11.00,23.92,12.38,39.52,-0.95,0.18,11.00,17.70,8.57,30.48,-1.01,0.18,11.00,15.17,8.02,27.36,-1.09,0.18,11.00,14.83,7.14,24.29,-1.15,0.17,12.00,12.92,7.62,21.43,-1.28,0.18,12.00,9.13,4.78,16.27
MALAWI,-0.51,0.25,3.00,33.66,17.96,53.40,-0.31,0.20,5.00,43.90,26.70,55.83,-0.38,0.21,5.00,41.46,25.73,54.37,-0.75,0.19,7.00,26.34,12.14,37.86,-0.69,0.17,8.00,26.83,15.53,39.81,-0.72,0.17,9.00,23.41,13.11,39.81,-0.80,0.17,9.00,23.90,13.59,36.41,-0.81,0.17,10.00,22.44,13.59,34.95,-0.56,0.20,9.00,32.04,16.91,46.86,-0.55,0.19,10.00,35.92,19.81,46.86,-0.47,0.19,10.00,40.67,25.24,50.00,-0.42,0.19,10.00,41.63,27.14,50.48,-0.44,0.19,10.00,41.71,25.94,49.53,-0.49,0.19,10.00,38.28,23.33,47.62,-0.53,0.17,11.00,35.89,23.33,45.24,-0.69,0.19,11.00,25.00,16.27,40.67
MALAYSIA,0.75,0.23,5.00,76.10,65.05,84.47,0.79,0.19,6.00,77.56,70.39,83.98,1.05,0.19,6.00,82.44,77.67,88.35,0.99,0.17,7.00,81.46,74.27,87.38,1.17,0.17,7.00,84.88,78.16,89.81,1.13,0.18,8.00,84.88,77.67,89.32,1.13,0.17,8.00,83.90,76.21,88.83,1.20,0.18,10.00,85.37,78.64,88.35,1.25,0.19,9.00,86.89,79.71,90.34,1.16,0.20,9.00,83.50,77.29,88.41,1.00,0.19,10.00,79.43,72.86,86.67,1.13,0.19,10.00,82.78,75.71,88.57,1.03,0.19,10.00,81.04,72.64,87.26,1.01,0.20,9.00,80.38,71.90,87.62,1.10,0.19,9.00,81.82,73.33,88.57,1.14,0.20,9.00,83.65,74.16,89.95
MALDIVES,0.91,0.31,1.00,80.98,66.50,88.83,0.84,0.29,2.00,78.54,67.48,88.35,0.28,0.23,3.00,64.39,52.43,75.24,0.28,0.22,3.00,63.41,53.88,74.27,0.01,0.22,3.00,59.02,41.75,66.02,-0.11,0.22,4.00,54.15,37.86,66.02,0.16,0.25,4.00,59.51,47.57,69.42,0.04,0.25,4.00,56.10,41.26,67.96,0.00,0.28,4.00,54.37,40.10,68.12,-0.27,0.28,4.00,46.12,25.12,60.39,-0.45,0.29,4.00,41.15,18.57,57.14,-0.21,0.28,4.00,46.89,29.05,63.33,-0.31,0.29,4.00,45.02,23.58,60.85,-0.16,0.31,3.00,48.33,29.05,63.81,-0.28,0.30,4.00,44.98,24.29,60.48,-0.37,0.32,4.00,41.83,17.70,60.77
MALI,-1.21,0.29,2.00,9.27,3.88,23.30,-1.05,0.24,4.00,13.66,5.34,25.73,-0.87,0.25,4.00,16.59,6.80,37.86,-0.60,0.22,6.00,31.71,13.59,47.57,-0.60,0.20,7.00,32.20,16.99,47.09,-0.62,0.19,8.00,30.73,14.56,47.09,-0.69,0.18,8.00,28.29,15.53,41.26,-0.68,0.18,10.00,27.80,16.50,41.26,-0.73,0.20,10.00,25.73,14.98,41.55,-0.76,0.20,10.00,23.30,13.53,40.58,-0.79,0.18,11.00,22.97,11.43,38.57,-0.84,0.18,11.00,22.01,10.95,36.67,-0.79,0.18,11.00,23.22,13.68,39.15,-0.99,0.18,11.00,16.27,8.57,29.05,-0.88,0.17,12.00,20.10,12.86,31.43,-1.12,0.18,12.00,14.42,7.18,20.57
MALTA,0.99,0.29,2.00,83.41,69.42,89.81,0.91,0.28,2.00,81.46,70.39,88.35,1.07,0.31,2.00,83.41,72.33,89.32,1.06,0.28,2.00,82.44,73.30,89.32,0.93,0.25,3.00,79.51,70.39,89.32,0.83,0.26,3.00,77.07,68.45,87.86,0.82,0.22,3.00,76.10,67.48,84.95,1.08,0.21,4.00,82.93,74.76,87.86,1.22,0.24,4.00,83.98,77.78,91.79,1.29,0.25,4.00,86.89,78.26,94.20,1.17,0.23,6.00,84.21,75.71,91.90,1.20,0.23,6.00,84.21,75.71,92.86,1.21,0.23,6.00,83.89,75.47,92.92,1.24,0.23,6.00,85.65,76.19,94.29,1.25,0.22,6.00,86.60,76.19,93.81,1.03,0.24,6.00,80.77,72.73,89.00
MARSHALL ISLANDS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.44,0.50,1.00,38.54,7.28,67.96,-0.84,0.28,2.00,19.02,6.80,41.26,-1.16,0.30,2.00,9.27,1.94,27.67,-1.06,0.26,2.00,12.68,4.85,29.13,-0.87,0.27,2.00,18.05,6.80,41.75,-1.00,0.39,2.00,15.12,1.94,42.72,-1.11,0.33,2.00,13.17,1.94,34.47,-1.23,0.35,2.00,9.71,0.97,29.95,-1.31,0.38,2.00,6.80,0.97,28.99,-1.40,0.38,3.00,5.74,0.48,25.24,-1.28,0.35,3.00,7.18,0.95,28.57,-1.62,0.42,2.00,3.79,0.00,17.92,-1.65,0.46,2.00,1.91,0.00,20.95,-1.58,0.47,2.00,2.87,0.00,23.33,-1.55,0.44,2.00,5.29,0.48,19.62
MARTINIQUE,0.91,0.31,1.00,80.98,66.50,88.83,0.91,0.34,1.00,80.49,66.99,89.32,0.88,0.37,1.00,80.00,64.08,89.32,0.83,0.32,1.00,78.54,64.08,87.86,0.78,0.38,1.00,77.07,61.17,89.81,0.75,0.42,1.00,76.10,59.71,89.81,0.72,0.32,1.00,73.66,62.14,85.44,0.73,0.41,1.00,74.63,56.31,87.86,0.72,0.47,1.00,76.21,52.66,89.37,0.75,0.45,1.00,76.70,56.04,88.41,0.75,0.42,1.00,74.16,57.62,88.10,0.74,0.44,1.00,74.64,56.67,89.05,0.73,0.42,1.00,73.93,56.13,87.74,0.74,0.39,1.00,73.21,58.57,87.62,0.74,0.37,1.00,72.73,59.05,88.10,0.67,0.46,1.00,73.08,50.24,89.00
MAURITANIA,-0.14,0.31,1.00,52.20,28.16,65.05,-0.10,0.27,3.00,53.66,32.04,65.53,-0.18,0.28,3.00,48.29,29.13,64.08,-0.02,0.27,3.00,56.59,36.41,67.96,-0.02,0.29,3.00,57.56,35.44,67.96,-0.47,0.25,4.00,38.54,17.48,56.80,-0.33,0.23,5.00,43.90,27.18,56.80,-0.77,0.19,8.00,25.85,13.59,39.32,-0.86,0.23,8.00,17.48,9.66,37.20,-0.95,0.22,8.00,16.50,7.25,33.82,-0.88,0.19,9.00,20.57,10.00,37.14,-0.96,0.20,9.00,16.27,7.14,31.90,-0.93,0.20,9.00,17.54,8.49,32.08,-0.92,0.19,9.00,18.66,10.00,31.43,-0.98,0.17,10.00,16.75,9.52,29.52,-1.05,0.19,10.00,15.87,8.13,23.92
MAURITIUS,0.32,0.45,1.00,63.41,36.89,83.50,0.42,0.28,3.00,68.78,55.34,79.13,0.45,0.24,4.00,69.76,57.77,79.13,0.41,0.19,5.00,67.80,60.68,74.76,0.75,0.18,6.00,75.61,67.48,82.04,0.65,0.18,7.00,74.15,67.96,79.61,0.62,0.18,7.00,71.22,64.08,77.18,0.68,0.18,8.00,72.20,65.05,79.61,0.73,0.20,8.00,77.18,65.70,82.61,0.77,0.20,8.00,77.18,67.15,82.13,0.76,0.19,8.00,74.64,66.67,81.90,0.85,0.20,8.00,76.56,69.05,83.33,0.86,0.20,10.00,76.78,68.40,83.49,0.95,0.19,10.00,77.51,70.95,87.14,0.87,0.17,11.00,75.12,69.52,82.86,1.13,0.19,11.00,82.69,74.16,89.00
MEXICO,0.07,0.23,6.00,59.02,44.17,67.48,0.35,0.19,6.00,66.34,56.80,75.73,0.23,0.19,6.00,61.95,53.88,71.36,0.25,0.17,8.00,62.44,55.83,69.90,0.23,0.17,8.00,62.93,55.34,69.90,0.17,0.17,9.00,63.90,53.88,69.42,0.08,0.17,9.00,58.05,49.03,64.08,0.16,0.17,11.00,60.49,52.91,67.96,0.17,0.19,11.00,59.22,51.21,69.08,0.18,0.19,11.00,60.19,51.21,68.60,0.16,0.18,11.00,60.29,50.00,66.67,0.14,0.19,11.00,60.29,49.05,67.14,0.31,0.19,11.00,63.51,54.72,71.23,0.32,0.19,11.00,63.16,57.14,70.95,0.31,0.18,11.00,62.20,55.71,70.00,0.19,0.19,11.00,61.06,48.33,71.77
